Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
Aditya Birla SL Active Debt Multi-Mgr FoF(G),Kaustubh Gupta,FOF-DOM,Unrated,8.3,0.64,Open Ended,28-Dec-06,Crisil Composite Bond Fund Index,29.05,29.45,26.82,0.95,0.54,2.11,8.51,7.86,7.56,7.39,7.92,-,-,-,-,-,-,-,-,-,-,5.7,0.9,1.37,-,6.39,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,4,5552.4,0.86,Open Ended,24-Jul-09,Nifty 50 Arbitrage Index,20.86,20.86,20.1,0.51,1.16,1.89,3.72,4.97,5.2,5.55,6.72,1313,122,116863,53.6,13.73,0.77,Financials,0.38,0.36,3.81,0.71,0.57,0.96,-,1.17,Hybrid : Arbitrage,0.25% on or before 30D Nil after 30D
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,Unrated,17,1.35,Open Ended,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,37.51,38.47,26.81,-1.91,0.42,15.02,37.91,14.07,9.85,11.89,8.42,-,-,-,-,-,-,-,-,-,-,36.46,3.12,5.07,-,11.74,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Ajay Garg,HY-SOL,Unrated,407.3,2.71,Open Ended,11-Feb-19,S&P BSE 200 - TRI,12.45,13.18,8.62,-4.89,-0.95,16.25,42.61,7.05,-,-,-,9,41,41449,43.89,40.97,10.47,Financials,-,-,-,38.13,2.37,4.05,-,16.39,Hybrid : Solution Oriented,Nil
Aditya Birla SL Balanced Advantage Fund(G),Mohit Sharma,HY-DYN,4,3181,2.23,Open Ended,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,65.34,66.36,46.49,-1,0.28,14.37,36.81,10.78,8.97,11.12,9.67,0,74,95969,51.94,6.88,5.95,Financials,1.77,1.39,4.23,32.71,2.55,4,-,12.96,Hybrid : Dynamic Asset Allocation,Nil
Aditya Birla SL Banking & Financial Services Fund-Reg(G),Dhaval Gala,EQ-FIN,4,1896.1,2.11,Open Ended,14-Dec-13,Nifty Financial Services - TRI,31.56,36.17,17.38,-9.39,-3.01,34.87,68.5,2.61,4.68,13.58,-,64,26,141673,77.22,2.79,14.21,Financials,-,-,-,-6.96,1.94,3.27,1.3,29.88,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,3,14048.6,0.68,Open Ended,5-May-08,NIFTY Banking and PSU Debt Index,284.29,284.46,259.53,1.09,0.21,2.07,9.87,9.29,8.58,8.36,9.25,0,-,-,-,-,-,-,2.89,2.29,5.32,6.8,3.55,6.57,-,1.93,Debt : Banking & PSU,Nil
Aditya Birla SL Banking ETF,Lovelish Solanki,EQ-ETF,Unrated,114.3,-,Open Ended,23-Oct-19,NIFTY BANK - TRI,315.51,370.45,171.96,-10.48,-2.47,35.11,62.68,-,-,-,-,-,12,326720,94.61,5.31,-,Financials,-,-,-,-15.27,1.69,2.92,1.44,33.63,Equity : ETFs,null
Aditya Birla SL CEF-Global Agri-Reg(G),Milind Bafna,EQ-INTL,Unrated,9.8,1.73,Open Ended,7-Nov-08,S&P Global Agribusiness Index,30.78,30.78,18.14,1.88,13.5,36.85,60.45,15.02,10.55,9.01,5.8,4,21,11480,3.36,-,4,Chemicals,-,-,-,36.41,2.52,4.38,0.25,19.5,Equity : International,1% on or before 365D Nil after 365D
Aditya Birla SL Corp Bond Fund(G),Maneesh Dangi,DT-CORP,4,23508.5,0.46,Open Ended,3-Mar-97,NIFTY Corporate Bond Index,86.23,86.23,78,1.16,0.63,2.48,10.9,9.6,8.99,8.54,9.12,0,-,-,-,-,-,-,2.87,2.32,5.37,7.79,4.67,9.04,-,1.68,Debt : Corporate Bond,Nil
Aditya Birla SL Credit Risk Fund-Reg(G),Sunaina da Cunha,DT-CR,3,1554.3,1.86,Open Ended,22-Apr-15,NIFTY Credit Risk Bond Index,15.4,15.4,13.68,0.92,1.86,4.49,11.31,6.1,5.9,7.12,-,0,1,-,-,-,-,-,1.93,1.55,7.17,8.09,3.67,5.59,-,2.22,Debt : Credit Risk,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,Unrated,1148.4,2.37,Open Ended,15-Jan-00,S&P BSE TECk Index - TRI,98.68,103.08,45.5,1.27,4.9,28.57,116.26,36.62,26.95,22.45,16.75,78,32,85613,53.86,15.67,24.49,Technology,-,-,-,54.84,4.28,7.92,0.57,19.47,Equity : Sectoral - Technology,1% on or before 30D Nil after 30D
Aditya Birla SL Dividend Yield Fund(G),Vineet Maloo,EQ-DIV,Unrated,715.9,2.38,Open Ended,10-Feb-03,NIFTY DIV OPPS 50 - TRI,198.28,203.8,126.25,0.2,0.81,20.26,54.06,10.93,4.54,8.97,8.62,22,49,31582,36.88,22.2,29.4,Technology,-,-,-,20.36,3.16,5.14,0.57,15.48,Equity : Thematic - Dividend Yield,Nil upto 15% of units1% in excess of limit on or before 365D and Nil after 365D
Aditya Birla SL Dual Adv Fund-Sr 2-Reg(G),Mohit Sharma,HY-DT(CO),Unrated,57.6,-,Closed Ended,4-Feb-19,CRISIL Hybrid 75+25 - Conservative Index,12.44,12.55,10.69,-0.21,0.74,5.89,16.18,9.94,-,-,-,-,17,84550,14.19,5.75,3.62,Financials,-,-,-,14.04,3.25,5.75,-,4.37,Hybrid : Debt Oriented (Conservative),null
Aditya Birla SL Dynamic Bond Fund-Reg(G),Mohit Sharma,DT-DYN,2,1601.2,1.42,Open Ended,27-Sep-04,NIFTY Composite Debt Index,34.64,34.64,31.23,1.38,0.99,2.58,9.97,4.89,4.93,5.32,7.74,0,-,-,-,-,-,-,3.56,2.61,6.6,7.03,2.29,3.26,-,3.08,Debt : Dynamic Bond,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D
Aditya Birla SL Equity Advantage Fund(G),Satyabrata Mohanty,EQ-L&M,2,5004.1,1.88,Open Ended,24-Feb-95,Nifty LargeMidcap 250 Index - TRI,537.22,561.18,311.34,-3.5,2.54,27.11,71.18,15.41,8.48,13.11,12.77,75,49,65622,49.56,43.14,5.21,Financials,-,-,-,17.79,3.11,5.15,0.84,19.16,Equity : Large & Mid Cap,1% on or before 365D Nil after 365D
Aditya Birla SL Equity Hybrid 95 Fund(G),Satyabrata Mohanty,HY-EQ,1,7683.1,1.82,Open Ended,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,905.66,931.84,588.62,-2.18,1.72,21.38,51.39,9.15,6.28,10.07,11,0,58,120283,55.93,17.89,5.02,Financials,4.11,2.94,5.9,44.93,3.05,5.06,-,14.79,Hybrid : Equity Oriented,Nil upto 15% of units1% in excess of limit on or before 365D and Nil after 365D
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,HY-EQ,3,489,2.51,Open Ended,28-Nov-14,Nifty 50 Arbitrage Index,16.02,16.34,12.54,-1.6,1.14,12.03,27.55,9.61,6.82,8.71,-,0,52,103783,51.45,21.45,3.11,Financials,2.35,1.65,4.39,24.22,3.01,5.08,-,8.1,Hybrid : Equity Oriented,Nil upto 15% of units For reamaining investemnts 1% on or before 365D Nil after 365D
Aditya Birla SL ESG Fund-Reg(G),Satyabrata Mohanty,EQ-THEM,Unrated,948.5,-,Open Ended,24-Dec-20,Nifty 100 ESG Index - TRI,10.3,10.94,9.8,-4.54,-1.15,-,-,-,-,-,-,-,41,118072,66.59,23.41,7.68,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,1% on or before 90D Nil after 90D
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,145.8,0.75,Open Ended,9-May-11,CRISIL Hybrid 35+65 - Aggressive Index,28.71,29.88,20.51,-2.9,-0.42,16.88,39.97,12.68,9.16,11.85,-,-,-,-,-,-,-,-,-,-,-,37.3,2.98,4.92,-,12.58,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,13.1,0.84,Open Ended,9-May-11,CRISIL Short Term Debt Hybrid 75+25 Fund Index,22.06,22.31,18.27,-0.5,-0.06,8.42,22.19,9.81,7.75,8.2,-,-,-,-,-,-,-,-,-,-,-,20.16,3.44,6.08,-,5.89,FoFs : Domestic,1% on or before 1Y Nil after 1Y
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,24.9,0.97,Open Ended,9-May-11,CRISIL Hybrid 50+50 - Moderate Index,24.81,25.41,19.08,-1.62,-0.25,12.56,30.72,11.52,8.71,9.87,-,-,-,-,-,-,-,-,-,-,-,28.65,3.1,5.14,-,9.27,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Flexi Cap Fund(G),Anil Shah,EQ-MLC,3,13025.8,1.76,Open Ended,27-Aug-98,S&P BSE AllCap - TRI,929.92,970.78,558.66,-2.64,-0.46,26.1,62.67,12.16,9.21,14.29,13.27,38,65,104064,67.29,20.62,9.89,Financials,-,-,-,10.71,2.81,4.46,0.86,19.22,Equity : Multi Cap,1% on or before 365D Nil after 365D
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,Unrated,14250.3,0.38,Open Ended,25-Mar-09,Crisil Liquid Fund Index,266.48,266.48,247.8,0.75,0.52,1.98,7.61,7.56,7.69,7.77,8.66,0,-,-,-,-,-,-,1.55,1.36,4.89,4.69,5.24,10.16,-,0.89,Debt : Floater,Nil
Aditya Birla SL Focused Equity Fund(G),Mahesh Patil,EQ-LC,3,4610.5,1.93,Open Ended,24-Oct-05,NIFTY 50 - TRI,74.66,79.16,47.33,-3.5,-2.48,21.68,53.16,11.39,9.79,12.41,12.2,149,31,176217,88.76,4.94,1.88,Financials,-,-,-,3.15,2.5,4.11,0.89,19.11,Equity : Large Cap,1% on or before 365D Nil after 365D
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,2,19498.6,1.7,Open Ended,30-Aug-02,NIFTY 50 - TRI,277.5,292.53,170.35,-3.69,-0.71,24.16,58.77,10,8.77,11.91,11.75,74,65,190227,85.76,10.5,1.66,Financials,-,-,-,5.85,2.64,4.27,0.9,19.34,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL FTP-OW-1245D-Reg(G),Mohit Sharma,DT-FMP,Unrated,87.7,-,Closed Ended,13-Dec-17,Crisil Composite Bond Fund Index,9.66,9.66,9.09,0.34,1.15,0.92,3.15,-0.81,-1.87,-,-,0,-,-,-,-,-,-,2.42,-,-,0.43,0.11,0.12,-,4.01,Debt : FTP/FMP,null
Aditya Birla SL FTP-OX-1234D-Reg(G),Mohit Sharma,DT-FMP,Unrated,127.2,-,Closed Ended,19-Dec-17,Crisil Composite Bond Fund Index,12.58,12.58,11.88,0.3,0.84,1.75,6.02,7.25,7.29,-,-,0,-,-,-,-,-,-,2.3,-,-,3.12,6.15,15.42,-,0.51,Debt : FTP/FMP,null
Aditya Birla SL FTP-OY-1218D-Reg(G),Mohit Sharma,DT-FMP,Unrated,535.2,-,Closed Ended,1-Jan-18,Crisil Composite Bond Fund Index,12.63,12.63,11.87,0.3,0.85,1.82,6.49,7.5,7.41,-,-,0,-,-,-,-,-,-,2.41,-,-,3.58,5.87,13.8,-,0.61,Debt : FTP/FMP,null
Aditya Birla SL FTP-OZ-1187D-Reg(G),Mohit Sharma,DT-FMP,Unrated,291.5,-,Closed Ended,5-Jan-18,Crisil Composite Bond Fund Index,12.56,12.56,11.85,0.33,0.82,1.81,5.99,7.32,7.24,-,-,0,-,-,-,-,-,-,2.32,-,-,3.23,5.38,13.23,-,0.6,Debt : FTP/FMP,null
Aditya Birla SL FTP-PA-1177D-Reg(G),Mohit Sharma,DT-FMP,Unrated,321,-,Closed Ended,16-Jan-18,Crisil Composite Bond Fund Index,12.57,12.57,11.89,0.33,0.81,1.78,5.86,7.26,7.2,-,-,0,-,-,-,-,-,-,2.34,-,-,3.07,5.95,16,-,0.52,Debt : FTP/FMP,null
Aditya Birla SL FTP-PB-1190D-Reg(G),Mohit Sharma,DT-FMP,Unrated,632,-,Closed Ended,25-Jan-18,Crisil Composite Bond Fund Index,12.57,12.57,11.85,0.3,0.84,1.79,6.19,7.39,7.37,-,-,0,-,-,-,-,-,-,2.37,-,-,3.33,6.36,18.08,-,0.52,Debt : FTP/FMP,null
Aditya Birla SL FTP-PC-1169D-Reg(G),Mohit Sharma,DT-FMP,Unrated,852.8,-,Closed Ended,5-Feb-18,Crisil Composite Bond Fund Index,12.6,12.6,11.85,0.29,0.83,1.78,6.37,7.52,7.42,-,-,0,-,-,-,-,-,-,2.4,-,-,3.48,5.99,17.04,-,0.58,Debt : FTP/FMP,null
Aditya Birla SL FTP-PD-1177D-Reg(G),Mohit Sharma,DT-FMP,Unrated,509.4,-,Closed Ended,8-Feb-18,Crisil Composite Bond Fund Index,12.58,12.58,11.85,0.3,0.83,1.76,6.26,7.48,7.4,-,-,0,-,-,-,-,-,-,2.38,-,-,3.35,5.97,16.48,-,0.57,Debt : FTP/FMP,null
Aditya Birla SL FTP-PE-1159D-Reg(G),Mohit Sharma,DT-FMP,Unrated,282.4,-,Closed Ended,20-Feb-18,Crisil Composite Bond Fund Index,12.54,12.54,11.8,0.3,0.83,1.8,6.36,7.47,7.37,-,-,0,-,-,-,-,-,-,2.37,-,-,3.45,5.92,14.11,-,0.58,Debt : FTP/FMP,null
Aditya Birla SL FTP-PF-1148D-Reg(G),Mohit Sharma,DT-FMP,Unrated,266.1,-,Closed Ended,27-Feb-18,Crisil Composite Bond Fund Index,12.54,12.54,11.81,0.28,0.81,1.75,6.31,7.53,7.4,-,-,0,-,-,-,-,-,-,2.39,-,-,3.4,5.52,14.73,-,0.62,Debt : FTP/FMP,null
Aditya Birla SL FTP-PG-1148D-Reg(G),Mohit Sharma,DT-FMP,Unrated,511.9,-,Closed Ended,1-Mar-18,Crisil Composite Bond Fund Index,12.57,12.57,11.82,0.28,0.83,1.79,6.42,7.63,7.46,-,-,0,-,-,-,-,-,-,2.41,-,-,3.48,5.86,14.69,-,0.6,Debt : FTP/FMP,null
Aditya Birla SL FTP-PH-1143D-Reg(G),Mohit Sharma,DT-FMP,Unrated,197.2,-,Closed Ended,7-Mar-18,Crisil Composite Bond Fund Index,12.53,12.53,11.79,0.3,0.83,1.79,6.37,7.56,7.41,-,-,0,-,-,-,-,-,-,2.4,-,-,3.45,5.85,14.4,-,0.59,Debt : FTP/FMP,null
Aditya Birla SL FTP-PI-1140D-Reg(G),Mohit Sharma,DT-FMP,Unrated,211.7,-,Closed Ended,8-Mar-18,Crisil Composite Bond Fund Index,12.52,12.52,11.78,0.29,0.82,1.79,6.42,7.54,7.41,-,-,0,-,-,-,-,-,-,2.4,-,-,3.48,5.84,13.7,-,0.6,Debt : FTP/FMP,null
Aditya Birla SL FTP-PJ-1135D-Reg(G),Mohit Sharma,DT-FMP,Unrated,257.3,-,Closed Ended,13-Mar-18,Crisil Composite Bond Fund Index,12.53,12.53,11.78,0.29,0.83,1.79,6.51,7.64,7.47,-,-,0,-,-,-,-,-,-,2.4,-,-,3.58,5.75,14.23,-,0.63,Debt : FTP/FMP,null
Aditya Birla SL FTP-PK-1132D-Reg(G),Mohit Sharma,DT-FMP,Unrated,547.5,-,Closed Ended,15-Mar-18,Crisil Composite Bond Fund Index,12.49,12.49,11.75,0.29,0.84,1.8,6.49,7.58,7.44,-,-,0,-,-,-,-,-,-,2.31,-,-,3.55,5.86,14.43,-,0.61,Debt : FTP/FMP,null
Aditya Birla SL FTP-PM-1141D-Reg(G),Mohit Sharma,DT-FMP,Unrated,47.2,-,Closed Ended,20-Mar-18,Crisil Composite Bond Fund Index,12.06,12.06,11.29,0.33,1.1,2.42,6.88,5.87,6.3,-,-,0,-,-,-,-,-,-,2.4,-,-,3.98,6.21,11.02,-,0.64,Debt : FTP/FMP,null
Aditya Birla SL FTP-PN-1135D-Reg(G),Mohit Sharma,DT-FMP,Unrated,61.3,-,Closed Ended,27-Mar-18,Crisil Composite Bond Fund Index,12.09,12.09,11.32,0.33,1.1,2.43,6.91,6.02,6.45,-,-,0,-,-,-,-,-,-,2.35,-,-,4.01,6.33,11.23,-,0.63,Debt : FTP/FMP,null
Aditya Birla SL FTP-PO-1140D-Reg(G),Mohit Sharma,DT-FMP,Unrated,403.4,-,Closed Ended,21-Mar-18,Crisil Composite Bond Fund Index,12.46,12.46,11.75,0.3,0.83,1.76,6.19,7.42,7.42,-,-,0,-,-,-,-,-,-,2.4,-,-,3.3,6.29,15.51,-,0.53,Debt : FTP/FMP,null
Aditya Birla SL FTP-PR-1134D-Reg(G),Mohit Sharma,DT-FMP,Unrated,468.6,-,Closed Ended,27-Mar-18,Crisil Composite Bond Fund Index,12.47,12.47,11.74,0.29,0.82,1.77,6.36,7.49,7.51,-,-,0,-,-,-,-,-,-,2.45,-,-,3.5,6.32,16.93,-,0.56,Debt : FTP/FMP,null
Aditya Birla SL FTP-PT-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,205.3,-,Closed Ended,9-May-18,Crisil Composite Bond Fund Index,12.34,12.34,11.75,0.27,0.77,1.6,5.13,6.77,-,-,-,0,-,-,-,-,-,-,2.3,-,-,2.37,5.26,16.37,-,0.45,Debt : FTP/FMP,null
Aditya Birla SL FTP-PU-1463D-Reg(G),Mohit Sharma,DT-FMP,Unrated,312.4,-,Closed Ended,15-May-18,Crisil Composite Bond Fund Index,13.01,13.01,11.97,0.56,0.91,2.26,8.93,9.11,-,-,-,0,-,-,-,-,-,-,3.25,-,-,5.9,5.74,13.72,-,1.04,Debt : FTP/FMP,null
Aditya Birla SL FTP-PV-1462D-Reg(G),Mohit Sharma,DT-FMP,Unrated,220.5,-,Closed Ended,17-May-18,Crisil Composite Bond Fund Index,13.03,13.03,11.98,0.55,0.9,2.26,8.98,9.12,-,-,-,0,-,-,-,-,-,-,3.14,-,-,5.95,5.92,14.34,-,1.02,Debt : FTP/FMP,null
Aditya Birla SL FTP-PW-1100D-Reg(G),Mohit Sharma,DT-FMP,Unrated,128.9,-,Closed Ended,23-May-18,Crisil Composite Bond Fund Index,12.4,12.4,11.81,0.27,0.77,1.63,5.13,6.81,-,-,-,0,-,-,-,-,-,-,2.26,-,-,2.37,5.44,17.31,-,0.43,Debt : FTP/FMP,null
Aditya Birla SL FTP-PY-1409D-Reg(G),Mohit Sharma,DT-FMP,Unrated,179.9,-,Closed Ended,29-May-18,Crisil Composite Bond Fund Index,12.88,12.88,11.95,0.54,0.92,2.21,8.1,8.73,-,-,-,0,-,-,-,-,-,-,3.01,-,-,5.14,4.96,11.75,-,1.06,Debt : FTP/FMP,null
Aditya Birla SL FTP-PZ-1120D-Reg(G),Mohit Sharma,DT-FMP,Unrated,175.3,-,Closed Ended,31-May-18,Crisil Composite Bond Fund Index,12.42,12.42,11.72,0.32,0.88,1.83,6.06,7.14,-,-,-,0,-,-,-,-,-,-,2.19,-,-,3.23,6.53,18.28,-,0.49,Debt : FTP/FMP,null
Aditya Birla SL FTP-QB-1113D-Reg(G),Mohit Sharma,DT-FMP,Unrated,290.5,-,Closed Ended,7-Jun-18,Crisil Composite Bond Fund Index,12.53,12.53,11.81,0.32,0.87,1.84,6.17,7.39,-,-,-,0,-,-,-,-,-,-,2.52,-,-,3.35,6.86,22.21,-,0.49,Debt : FTP/FMP,null
Aditya Birla SL FTP-QC-1116D-Reg(G),Mohit Sharma,DT-FMP,Unrated,99.3,-,Closed Ended,12-Jun-18,Crisil Composite Bond Fund Index,11.51,11.51,10.78,0.34,1.08,2.38,6.85,3.71,-,-,-,0,-,-,-,-,-,-,2.48,-,-,3.96,5.42,8.48,-,0.73,Debt : FTP/FMP,null
Aditya Birla SL FTP-QE-1101D-Reg(G),Mohit Sharma,DT-FMP,Unrated,54.8,-,Closed Ended,19-Jun-18,Crisil Composite Bond Fund Index,12.4,12.4,11.72,0.31,0.84,1.7,5.9,7.13,-,-,-,0,-,-,-,-,-,-,2.48,-,-,3.1,6.7,22.99,-,0.46,Debt : FTP/FMP,null
Aditya Birla SL FTP-QF-1385D-Reg(G),Mohit Sharma,DT-FMP,Unrated,81.1,-,Closed Ended,21-Jun-18,Crisil Composite Bond Fund Index,12.88,12.88,11.91,0.55,0.92,2.22,8.43,8.93,-,-,-,0,-,-,-,-,-,-,3.19,-,-,5.42,5.16,12.36,-,1.07,Debt : FTP/FMP,null
